SRR19149590	RFBO101
SRR19149589	RFBO102
SRR19149578	RFBO103
SRR19149567	RFBO104
SRR19149562	RFBO105
SRR19149561	RFBO106
SRR19149560	BRBO201
SRR19149559	BRBO202
SRR19149558	BRBO203
SRR19149557	BRBO204
SRR19149588	BRBO205
SRR19149587	MABO301
SRR19149586	MABO302
SRR19149585	MABO304
SRR19149584	MABO305
SRR19149583	MABO306
SRR19149582	NABO401
SRR19149581	NABO402
SRR19149580	NABO403
SRR19149579	NABO404
SRR19149577	NABO405
SRR19149576	NABO406
SRR19149575	BFBO501
SRR19149574	BFBO502
SRR19149573	BFBO503
SRR19149572	BFBO504
SRR19149571	BFBO505
SRR19149570	BFBO506
SRR19149569	PEBO601
SRR19149568	PEBO602
SRR19149566	PEBO603
SRR19149565	PEBO604
SRR19149564	PEBO605
SRR19149563	PEBO606
