species	specimen
BFBO_southern	BFBO501
BFBO_southern	BFBO502
BFBO_southern	BFBO503
BFBO_GofCA	BFBO504
BFBO_southern	BFBO505
BRBO_Pacific	BRBO201
BRBO_Pacific	BRBO202
BRBO_AtlCar	BRBO203
BRBO_AtlCar	BRBO205
MABO_IndoPacific	MABO302
MABO_AtlCar	MABO304
MABO_AtlCar	MABO305
MABO_IndoPacific	MABO306
NABO	NABO402
NABO	NABO403
NABO	NABO404
NABO	NABO405
NABO	NABO406
PEBO	PEBO601
PEBO	PEBO603
PEBO	PEBO604
PEBO	PEBO605
PEBO	PEBO606
RFBO	RFBO101
RFBO	RFBO102
RFBO	RFBO103
RFBO	RFBO104
RFBO	RFBO105
RFBO	RFBO106
NOGA reference
