Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_031468815.1	Primary Assembly	1	68666255	40.5	CM062567.1	Chromosome			assembled-molecule	170178824			SUPER_1
GCA_031468815.1	Primary Assembly	2	54687067	40.5	CM062568.1	Chromosome			assembled-molecule	135246905			SUPER_2
GCA_031468815.1	Primary Assembly	3	48014334	41	CM062569.1	Chromosome			assembled-molecule	117810103			SUPER_3
GCA_031468815.1	Primary Assembly	4	34433226	40	CM062570.1	Chromosome			assembled-molecule	85674795			SUPER_4
GCA_031468815.1	Primary Assembly	5	35079380	41	CM062571.1	Chromosome			assembled-molecule	85624757			SUPER_5
GCA_031468815.1	Primary Assembly	6	28809795	42.5	CM062572.1	Chromosome			assembled-molecule	67563919			SUPER_6
GCA_031468815.1	Primary Assembly	7	19961114	43	CM062573.1	Chromosome			assembled-molecule	46532410			SUPER_7
GCA_031468815.1	Primary Assembly	8	18542426	41.5	CM062574.1	Chromosome			assembled-molecule	44886974			SUPER_8
GCA_031468815.1	Primary Assembly	9	18686035	44	CM062575.1	Chromosome			assembled-molecule	42617923			SUPER_9
GCA_031468815.1	Primary Assembly	10	15569286	42	CM062576.1	Chromosome			assembled-molecule	37269844			SUPER_10
GCA_031468815.1	Primary Assembly	11	14595047	45.5	CM062577.1	Chromosome			assembled-molecule	32005803			SUPER_11
GCA_031468815.1	Primary Assembly	12	13132331	42.5	CM062578.1	Chromosome			assembled-molecule	30933666			SUPER_12
GCA_031468815.1	Primary Assembly	13	11065496	42	CM062579.1	Chromosome			assembled-molecule	26479937			SUPER_13
GCA_031468815.1	Primary Assembly	14	10887584	43	CM062580.1	Chromosome			assembled-molecule	25354207			SUPER_14
GCA_031468815.1	Primary Assembly	15	10768532	43	CM062581.1	Chromosome			assembled-molecule	25038556			SUPER_15
GCA_031468815.1	Primary Assembly	16	10728470	43	CM062582.1	Chromosome			assembled-molecule	24847449			SUPER_16
GCA_031468815.1	Primary Assembly	17	7537248	41	CM062583.1	Chromosome			assembled-molecule	18308107			SUPER_17
GCA_031468815.1	Primary Assembly	18	6090597	46	CM062584.1	Chromosome			assembled-molecule	13245616			SUPER_18
GCA_031468815.1	Primary Assembly	19	5463591	42.5	CM062585.1	Chromosome			assembled-molecule	12893209			SUPER_19
GCA_031468815.1	Primary Assembly	20	6309546	47	CM062586.1	Chromosome			assembled-molecule	13355433			SUPER_20
GCA_031468815.1	Primary Assembly	21	4717030	46.5	CM062587.1	Chromosome			assembled-molecule	10127644			SUPER_21
GCA_031468815.1	Primary Assembly	22	4654202	48.5	CM062588.1	Chromosome			assembled-molecule	9642860			SUPER_22
GCA_031468815.1	Primary Assembly	23	4673500	51	CM062589.1	Chromosome			assembled-molecule	9150894			SUPER_23
GCA_031468815.1	Primary Assembly	24	4543696	49.5	CM062590.1	Chromosome			assembled-molecule	9160443			SUPER_24
GCA_031468815.1	Primary Assembly	25	4309868	51.5	CM062591.1	Chromosome			assembled-molecule	8358757			SUPER_25
GCA_031468815.1	Primary Assembly	26	3310231	48	CM062592.1	Chromosome			assembled-molecule	6886583			SUPER_26
GCA_031468815.1	Primary Assembly	27	3668104	52.5	CM062593.1	Chromosome			assembled-molecule	6978323			SUPER_27
GCA_031468815.1	Primary Assembly	28	2021505	57	CM062594.1	Chromosome			assembled-molecule	3550508			SUPER_28
GCA_031468815.1	Primary Assembly	29	2681862	56.5	CM062595.1	Chromosome			assembled-molecule	4730139			SUPER_29
GCA_031468815.1	Primary Assembly	30	586832	59.5	CM062596.1	Chromosome			assembled-molecule	982906			SUPER_30
GCA_031468815.1	Primary Assembly	31	265075	58.5	CM062597.1	Chromosome			assembled-molecule	453534			SUPER_31
GCA_031468815.1	Primary Assembly	32	209076	55	CM062598.1	Chromosome			assembled-molecule	379608			SUPER_32
GCA_031468815.1	Primary Assembly	33	137387	63.5	CM062599.1	Chromosome			assembled-molecule	216837			SUPER_33
GCA_031468815.1	Primary Assembly	Z	35603331	40.5	CM062600.1	Chromosome			assembled-molecule	87989188			SUPER_Z
